Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
ACACB,7.6693493,6.830616555,5.372309529,8.002453902,6.794150223,4.963208922,5.058785627,4.984734682,5.222440479,4.765652432,4.892353944,4.826626953,4.915829126,5.060605456
TOX3,3.403797352,5.909548516,5.189753285,3.734438893,5.286883435,6.665673172,6.026039014,8.929874506,7.548048788,9.767276097,9.806266658,9.745439033,9.455920142,4.501623124
TOX3,3.255929923,5.874594779,5.247254607,5.667706992,5.421659289,6.497917884,5.962378684,8.480898321,7.150400207,9.505269994,9.546438802,9.484682154,9.172857837,4.540602118
ERBB3,4.347338621,4.409258234,4.169748059,4.463901995,4.364414254,4.355800461,4.298576343,4.36770138,4.030622232,4.472616605,4.515377132,4.23138926,4.41419972,4.379077804
TFAP2B,5.138158003,5.220011618,5.54892785,5.311632705,5.037787689,7.426614195,6.154857185,6.368942454,6.120505818,6.959533148,6.761014098,7.844311187,6.128829593,5.279398381
GYG2,10.93663722,10.71240236,8.334838638,11.34791949,10.83244708,6.424659702,6.934988811,6.59574691,7.230247892,6.862669474,6.608357802,5.680814008,7.328884174,7.907047236
CD24,8.224338712,11.57432456,12.85706514,8.697281671,10.69704931,12.69985492,13.07116815,13.80110064,12.23548404,13.8605469,13.67482414,13.63521094,13.92178862,13.84031144
AKR1C1,12.66158305,11.94452251,10.20487871,12.20735438,12.60447753,8.179353601,8.619689908,7.943457221,9.167412582,7.529360252,8.297607337,7.910131045,9.584581983,9.468363614
TOX3,3.50540235,6.022422346,5.478658094,4.318710706,5.524937013,6.990966746,6.367238947,9.191420172,7.913216844,10.05473238,9.955875356,10.04245851,9.846397058,4.648270424
COL10A1,4.270405434,4.637455654,4.270405434,4.53036741,4.750485811,9.210351041,10.28754914,8.593066321,8.806928856,9.482122994,8.60463909,8.731541118,9.106161021,7.439559611
CLCA2,4.212064672,4.093038842,4.38151804,4.113803218,5.845770299,9.515477863,6.684565487,8.371829348,8.967497495,10.70910334,7.680595966,8.070037657,8.167398708,3.96933544
AKR1C1,8.218836498,6.744816402,6.34384844,7.9081456,7.527390768,5.768700432,5.796235791,5.851000612,6.06290053,5.79442883,6.091154174,5.73708557,6.867032446,6.515006267
NUSAP1,4.565146444,5.368398266,6.830214838,4.702094934,5.171072306,8.523293096,6.784890012,9.120466914,7.680265778,9.424208358,9.550984117,9.762414345,8.550704587,9.832311122
SORBS1,11.98192359,11.43081473,9.811712517,11.82785417,11.83212492,7.091069553,7.870942417,6.923998804,8.151136365,6.746258728,6.767047922,7.296609927,7.481296155,9.065606896
RAB25,4.71689484,7.66954776,9.550479585,4.719908907,7.446918696,10.71601935,10.25447408,10.56298411,9.450538774,10.12432802,9.458569203,10.69330157,10.0999077,9.756151941
DTL,4.030505879,4.476262132,6.306973192,3.917663526,5.106050944,8.165601768,6.441045369,8.192073161,6.718951442,10.62734619,7.572678862,9.15282028,7.313714462,9.069228277
S100A14,4.250370181,7.260913651,7.997073716,5.868565228,6.478531022,11.83058483,10.06577774,10.69296349,6.576384037,11.89681519,9.875614252,10.91091991,8.541982787,8.454825644
HSPB7,9.569139052,8.992360832,6.225833157,9.356618936,10.56781681,4.703826406,4.756828408,5.330887754,5.357624256,4.719845557,5.213807281,5.213933834,5.286742964,6.418599418
LYVE1,10.13128637,11.1331149,9.148120625,11.52386068,10.07705254,6.898194414,8.886961649,6.370587065,8.240863941,5.26432021,6.615665779,6.979323671,7.108113686,7.321953834
ESRP1,5.487187025,6.64966704,8.091928671,4.871069942,5.744019215,8.654723868,8.267381962,8.471547494,7.632478422,9.096727403,8.76429524,9.633918183,8.381333805,9.931510862
RBP4,12.80700231,11.53407443,9.988431229,12.41642265,12.67857581,7.456340168,7.862338382,7.338501012,8.409300444,5.601325955,7.484459181,6.432859748,7.908969031,9.360397356
PCOLCE2,11.52317257,11.53038141,8.400201248,11.81464671,11.10840496,6.441555083,6.473404076,5.248016429,7.468003882,4.492205752,5.781676606,5.083273094,6.948950939,9.228265904
CIDEC,13.03944784,12.10933937,9.855631658,12.9620645,12.84240036,7.726400505,8.43776688,7.83131789,8.458271833,7.281771785,7.771619178,6.949560233,8.178415069,9.348663813
TMC5,4.118395859,5.255246316,5.743490499,5.912897,5.581443284,9.071470017,10.46053823,8.697779267,7.324328091,10.08486123,9.382031467,10.99785728,9.094276539,4.204843902
NUSAP1,4.695440739,4.804223692,5.542963345,5.051989342,5.047714924,5.844016793,5.476145426,6.150845808,5.039482962,6.438925588,6.891838045,7.379151272,5.86055904,7.46931916
LYVE1,9.23020738,10.02913392,8.027486873,10.32371629,8.313862003,4.321207132,7.354870015,5.05890451,6.613946713,3.56962021,4.692055726,5.488523578,5.118195911,5.995119944
TNMD,8.473293265,8.352775409,6.148814404,7.777681249,10.65341664,3.805460122,4.629143536,3.802722003,4.303458904,3.730071043,4.301146099,3.857267131,4.132736521,6.797359915
SLC19A3,9.547808957,9.614114083,6.160803233,9.423272009,7.784596439,4.5710681,4.482900746,4.276234494,5.137449434,4.29924538,4.307588199,4.372674673,4.564089449,6.388189793
CIDEA,10.70620404,9.918958183,6.926641422,11.18280062,9.282920516,4.910539982,6.250359774,5.417263342,6.123546323,4.766510158,5.158365377,4.654274905,5.408969174,6.986676745
ACACB,10.58359336,10.14815211,8.57883802,11.48570582,11.35460799,7.00239924,7.949135237,7.723746736,7.999151279,7.128031686,7.037445135,6.982211578,7.089450514,7.824879119
RBP4,5.886833266,5.243142994,4.757685409,6.171463832,6.278124643,4.913987495,4.913685124,5.115149929,4.99271176,4.776483943,5.040578578,4.647169872,5.085445948,5.055761458
SORBS1,12.14322305,11.49794054,9.637886952,10.93789723,11.97028634,7.969258422,8.380513402,7.771173874,8.423311919,7.617881947,7.468489872,8.099679146,8.086720073,8.975499469
ANLN,3.633803929,3.984425854,4.211488014,3.30138553,3.445479772,6.74477702,4.822982548,6.955681873,6.006602544,6.95669708,7.105706281,7.592469337,7.993145998,9.134883556
DTL,3.909837365,4.449195285,5.229302531,4.20622309,5.178702682,6.851900977,5.339305161,7.090797568,5.429974097,9.454449713,6.223303249,8.166050241,6.654190283,7.269788786
TMC5,5.352472312,5.572228989,5.927926292,5.899148219,5.173568201,8.458248078,9.590213698,7.750322271,6.44106796,9.292977834,8.315943277,10.15694591,8.657602967,4.861453421
GJB2,4.859543834,4.465144773,4.661988511,4.498773728,4.928386592,8.533288989,9.993199285,7.072837508,9.58660176,7.251008714,6.800361199,7.567074886,10.42499444,5.593361381
DGAT2,11.83555813,10.87690681,8.990431862,11.98607663,12.61106107,8.261453779,8.211206916,7.614512209,7.972531413,8.17427847,7.801953101,6.8111003,8.467617184,10.0277644
GPAM,11.3550681,10.90945582,8.977087401,11.14072134,10.08395793,5.756466091,6.808167795,5.913824599,6.999668505,5.304224616,5.73877184,5.102301333,7.067173686,7.733456765
GPAM,12.11444215,11.62881208,9.862417966,12.52466648,12.42874726,6.960862888,7.627205039,7.104246907,8.23506386,7.00342744,6.865991177,6.331977329,7.956358217,9.183383427
ESRP1,4.06924474,7.374443432,9.146016707,3.837246902,7.046161477,9.756250039,9.414931358,9.313963125,8.445538365,10.26226602,9.976784282,10.61952037,9.065447296,11.19079809
DGAT2,11.92407125,10.99789955,9.122650528,11.85952294,12.42069978,7.747493292,7.5734157,7.203549197,7.235426528,7.82587906,7.105564344,5.780773175,7.860217909,10.08036769
ERBB3,4.784988873,8.498635439,10.20502421,4.829197512,8.345451022,10.19805112,11.35275788,10.51033187,9.724781027,11.00757516,11.16342685,11.13083552,10.28907229,10.50013337
