X,logFC,AveExpr,t,P.Value,adj.P.Val,B
201689_s_at,-2.55800075212995,8.4846205465393,-4.69954451091321,0.0003769172504081,0.00616266467286569,0.158764683898102
222725_s_at,2.55700895474722,5.98624145595279,7.39042344104418,4.24377749139915e-06,0.000440357855059834,4.60847239239156
231697_s_at,-2.55203365681104,6.98442372284822,-6.50780776652606,1.65804522192067e-05,0.000909384056660145,3.2649918784754
218736_s_at,2.54691488192714,8.82398943229377,7.99351186625616,1.77149181111245e-06,0.000289123327679323,5.46252737738116
206392_s_at,-2.54425863994789,8.73962559556114,-4.16280036710895,0.0010331657954325,0.0121061135872322,-0.843007986704965
200606_at,-2.5434441161629,10.7016799653647,-3.34378171286213,0.00504835738689601,0.0359119456712935,-2.40546452675247
217504_at,2.54235048492096,6.70184922441262,9.45298333359235,2.54571945635509e-07,0.000130203386710544,7.3315626284952
1566764_at,-2.54188642269649,5.98245917013934,-4.33994974814304,0.000738128551413035,0.00973870138718815,-0.50939236751461
203324_s_at,2.54031779841698,10.067062966625,7.84472645164367,2.18845864230026e-06,0.000314658531258011,5.25649587432727
222746_s_at,-2.53425339653936,7.44089626247022,-6.80387776680841,1.03764540505607e-05,0.000690732069973444,3.72835168061864
206166_s_at,-2.53323109418588,6.606165377511,-4.45429720150309,0.000595146413470064,0.00838286554816297,-0.295509039511108
207057_at,2.53311949432397,8.38984691693045,8.03223921643261,1.67739024440291e-06,0.000282188651116089,5.51566298137415
230867_at,2.53272685476262,6.81056262868127,3.60621324368869,0.00302413334971981,0.0252781670839215,-1.90346834296013
226777_at,-2.53212424986686,8.36826094586456,-4.46323159213466,0.000585253443809788,0.00828338908628014,-0.278850172689966
205009_at,-2.52444197056422,8.5376397184301,-2.41294366229323,0.0307068354189007,0.124584166409053,-4.13614642304873
227629_at,-2.52109045199727,7.84143132390266,-7.3796799166227,4.31211629551841e-06,0.000443798706750103,4.59279678100156
203571_s_at,2.52022144226747,11.4214459026206,5.05224438590257,0.000197955168382104,0.00405211487506234,0.799936799353709
229292_at,-2.51951217058982,6.646023571223,-5.87489585941742,4.70161414380247e-05,0.00163475316381499,2.23088975689515
219797_at,-2.51797624302856,6.37845929181841,-5.99748917511767,3.82547830119401e-05,0.00146056512677791,2.43582376762857
200671_s_at,2.51643356143615,5.97525684859249,7.79378597615748,2.35415906492598e-06,0.000324215735201078,5.18526103081788
242197_x_at,2.5113150467101,5.66724265504554,6.16402294633978,2.90053227272019e-05,0.00125710295080976,2.71065574507409
