probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
204641_at,NEK2,204641_at,-2.919103059,6.505490499,-5.275885104,0.000132701,0.003143598,1.198267092
205569_at,LAMP3,205569_at,-2.918080386,6.674505709,-5.460195936,9.59e-05,0.002538578,1.521428983
204731_at,TGFBR3,204731_at,2.91543889,9.232571377,9.713996125,1.84e-07,0.000106041,7.638583563
202708_s_at,H2BC21,202708_s_at,-2.91465956,8.092390489,-5.922206407,4.34e-05,0.001556808,2.310238907
203908_at,SLC4A4,203908_at,2.907824578,5.413452584,6.698047887,1.23e-05,0.000764715,3.564210751
226455_at,CREB3L4,226455_at,-2.906494928,9.087324781,-6.959609215,8.15e-06,0.000601999,3.966898361
204320_at,COL11A1,204320_at,-2.905753157,6.375897712,-4.900407368,0.00026069,0.00487624,0.525783006
201291_s_at,TOP2A,201291_s_at,-2.893784758,6.004947335,-3.061928884,0.008762226,0.052403711,-2.941446207
213933_at,PTGER3,213933_at,2.887082275,7.242118276,6.187279883,2.79e-05,0.001231802,2.748709835
204537_s_at,GABRE,204537_s_at,2.881670403,6.701318847,7.061792614,6.96e-06,0.000560432,4.121496626
235849_at,SCARA5,235849_at,2.879043271,9.028788989,6.290506039,2.36e-05,0.001103167,2.916644269
213909_at,LRRC15,213909_at,-2.878552798,8.536657045,-5.895084443,4.54e-05,0.001602494,2.264790235
219127_at,PRR15L,219127_at,-2.874081775,8.001870695,-5.13207309,0.000171488,0.003709076,0.942884365
201596_x_at,KRT18,201596_x_at,-2.873033905,11.02122793,-4.163933588,0.001030936,0.012090605,-0.840865932
204755_x_at,HLF,204755_x_at,2.871058921,6.552569883,8.676024964,6.95e-07,0.00018433,6.369946879
208651_x_at,CD24,208651_x_at,-2.867692388,10.39026355,-4.160413555,0.001037879,0.012138193,-0.847519933
219010_at,INAVA,219010_at,-2.86752907,7.900461823,-4.438397028,0.000613181,0.008574347,-0.325175497
238066_at,RBP7,238066_at,2.865194211,9.319983758,7.767071605,2.45e-06,0.00033022,5.147761226
202859_x_at,CXCL8,202859_x_at,-2.863720046,6.851137381,-4.476153131,0.000571245,0.00816544,-0.25477092
